Client,Name,Title,Full attribution,Industry,Vertical,Tags,"Quote ""...""",Source,Current client
3M,Keith Haig,3M ESPE’s Director of Marketing,"Keith Haig, 3M",Diversified Manufacturing Conglomerate,Manufacturing,Amplify,Being able during a sales call to show other dentists’ experience with a product could be so powerful. It would be as if the prospect were standing next to five or ten or even hundreds or thousands of peers and hearing about their experience. It’s an opportunity to amplify a conversation between two or three people to thousands. ,Case study,Yes
3M,Keith Haig,3M ESPE’s Director of Marketing,"Keith Haig, 3M",Diversified Manufacturing Conglomerate,Manufacturing,Insights,"We see the value of providing us with real-time feedback on things like packaging, pricing, and instructions to help us improve our business.",Case study,Yes
3M,Raj Rao,VP of Global eTransformation,"Raj Rao, 3M",Diversified Manufacturing Conglomerate,Manufacturing,Insights,UGC is the lifeblood of new ideas. It's through these conversations that we're able to unearth new opportunities and identify unmet needs.,Video interview,Yes
Academy,Napo Ghonda,SEO Manager,"Napo Ghonda, Academy",Sporting Goods / Outdoors,Retail,Amplify,"When the customer writes ‘this is the best bike,’ that carries a lot more weight than when we write it.",Case study,Yes
Agri-Fab,Hilary Conner,Director of Sales,"Hilary Conner, Agri-Fab",Hardware / Home Improvement,Manufacturing,"TryIt,Sampling,BV Advantage: Network","We've had R&R on our site with Bazaarvoice for several years and saw a lot of value in it. We knew we could drive even more sales by increasing volume and star ratings. We used TryIt to garner more reviews. The reviews helped us sell well from the very beginning. These reviews were very positive, so our average rating and sales increased immediately. We had used other sampling programs to get reviews before BV's TryIt community but they were retail specific. So each one was only sent to one retailer. Using BV, that let's manufacturers own the reviews and syndicate it out to 25 retail partners. It led to a lower overall sampling cost, and the syndication of those is a key advantage to using the BV sampling program. ",Webinar,Yes
Agri-Fab,Hilary Conner,Director of Sales,"Hilary Conner, Agri-Fab",Hardware / Home Improvement,Manufacturing,"TryIt,Sampling,Conversion,BV Advantage: Network",We had a 500% sales increase over a 3-month period with our retail partners. ,Webinar,Yes
Agri-Fab,Hilary Conner,Director of Sales,"Hilary Conner, Agri-Fab",Hardware / Home Improvement,Manufacturing,"TryIt,Sampling,BV Advantage: Network,Insights",We use sampling to get insights. It provides early feedback for prototyping or early versions of products.,Webinar,Yes
Albatros Travel,Thomas Stack,Head of Customer Experience,"Thomas Stack, Albatros Travel",Travel,Retail,"BV: Generic,BV Advantage: Service & Support",Great system for ratings and reviews. We primarily use ratings and reviews. This is simple enough to set up and run. The moderation team is efficient. Showing our product reviews on our webpage has been very benificial for us.,G2,Yes
APG & Co,Elain Vaughan,COO,"Elain Vaughan, APG & Co",Apparel / Accessories,Manufacturing,"BV Advantage: Service & Support,BV Advantage: Innovation","The experience feels personal as our Account Manager comes in to provide advice, training and information on new tools 1 on 1. This enables us to introduce Bazaarvoice to other teams within the business and discuss how it can be beneficial for them. BV is continuously evolving and improving and our Account Manager ensures that we are taking advantage of new functionality and best practice.",Direct,Yes
APG & Co,Elain Vaughan,COO,"Elain Vaughan, APG & Co",Apparel / Accessories,Manufacturing,Conversion,"The use of rating and reviews has attributed to a lift in conversion rate, AOV and revenue per visitor across all three brands. Using the dashboard we can see that active users (those interacting with reviews) account for the lift in these metrics. ",Direct,Yes
Apple Federal Credit Union,Rebecca Brown,Director of Marketing,"Rebecca Brown, Apple Federal Credit Union",Credit Unions,Financial Services,BV Advantage: Strategy & Expertise,"The greatest value I have seen is the one to one contact I have with staff at Bazaarvoice. Bazaarvoice really, truly is a partner is our ratings and reviews program.",Video interview,Yes
Apple Federal Credit Union,Rebecca Brown,Director of Marketing,"Rebecca Brown, Apple Federal Credit Union",Credit Unions,Financial Services,BV Advantage: Content Integrity,The fact that there is a moderation team is one of the strongest selling points that the Bazaarvoice solution brings. The moderation team for us is fantastic. It was especially reassuring to our senior management. ,Video interview,Yes
Apple Federal Credit Union,Rebecca Brown,Director of Marketing,"Rebecca Brown, Apple Federal Credit Union",Credit Unions,Financial Services,Tools,One of the main reasons we’re working with Bazaarvoice is in the depth of the product offering.  It’s not just a ratings and reviews application that we attached to our site. …It really is an offering that expands our online presence.,Video interview,Yes
Appliances Online,Tim Griffin,Head of Data and Innovation,"Tim Griffin, Appliances Online",Home Improvement/Furnishings,Retail,"Customer experience,BV Advantage: Innovation",We really like the fact that we constantly benefit and improve our customer experience from new features as part of our ongoing partnership with Bazaarvoice.,Case study,Yes
Argos,Jim Bassett,Ecommerce Operations Manager,"Jim Bassett, Argos",Mass Merchant / Department Store,Retail,Customer experience,Conversations plays a big part in helping the customer choose and make sure the product is suitable for them based on what other customers have fed back. ,Case study,Yes
Argos,Jim Bassett,Ecommerce Operations Manager,"Jim Bassett, Argos",Mass Merchant / Department Store,Retail,"Customer experience,Conversion","We put content throughout the customer journey, no matter where they shop, because it's very important that the customer sees that content. It has a real impact on their conversion to sales.",Case study,Yes
Argos,Robert Jones,Product Reviews Manager,"Robert Jones, Argos",Mass Merchant / Department Store,Retail,"BV Advantage: Strategy & Expertise,BV: Generic",Bazaarvoice is the envy of all of my colleagues who work with other third party vendors that don't act as quickly or come up with new solutions as well as Bazaarvoice.,Video interview,Yes
Argos,Robert Jones,Product Reviews Manager,"Robert Jones, Argos",Mass Merchant / Department Store,Retail,"Q&A,SEO","Questions and answers let your consumers, staff, and product experts fill in those missing details and unanticipated individual use cases. This way you can become a one-stop resource for your customers. As the community host, you become the preferred source for real answers, setting your site apart from competitors, boosting natural search traffic. Search engines elevate sites with fresh content. And the questions and answers on your site use the same natural language people use in searches.",Case study,Yes
Argos,Robert Jones,Product Reviews Manager,"Robert Jones, Argos",Mass Merchant / Department Store,Retail,"Conversion,Q&A","We collect and leverage ratings and reviews, questions and answers, from our customers. It’s proven to increase sales and build brand loyalty. And it’s the heart of the Bazaarvoice platform.",Case study,Yes
