Client,Case Study or Client Story,Industry,Vertical,Product,Summary,Link,Quarter,Primary region
3M,Client story,Diversified Manufacturing Conglomerate,Brand,Sampling,"3M’s Electrical Tapes Division (B2B) drives product trial AND reviews in a single campaign; 3M’s Electrical Tapes Division drives product trial AND reviews in a single campaign; 7.6% conversion rate from samples requested to reviews collected, 1,150% increase in reviews for those products.",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Em0QHm9mywBLh8sm7c5OEikBXWvoaV3nBrx_e6MeTtH6EA?e=OwDH3S,FY18 Q2,NA
Abel & Cole,Client story,Food / Beverage / Drug,Retail,R&R,In-mail submission ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EmKOVZCmIRtMhfW6-1O7NqUBSe8y7Hq2IMrcnHQx-u3iPg?e=drXTOe,FY19 Q4,EMEA
Abel and Cole,Client story,Food / Beverage / Drug,Retail,R&R,Drives volume and conversion with In-Mail and MPS ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Et5L1G8UthhEhHvD0fGb-f4BE5CXv8V_los-nOqqz9nKMw?e=BGGv9I,FY21 Q2,
Abercrombie & Fitch,Client story,Apparel / Accessories,Retail,"R&R,Curations",Operational success leads to increase in ASF,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EqesuCdv7jtCiao_XV_jIucB5ybzR8XUOCjC7rVcjPp_fA?e=8Mpwnq,FY19 Q3,NA
Academy,Client story,Sporting Goods / Outdoors,Retail,Spotlights,Test proved that Spotlights drove significant traffic and at a much lower cost than paid search,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q4,NA
Academy,Client story,Sporting Goods / Outdoors,Retail,R&R,In-mail submission ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EmKOVZCmIRtMhfW6-1O7NqUBSe8y7Hq2IMrcnHQx-u3iPg?e=drXTOe,FY19 Q4,NA
adidas,Client story,Footwear,Brand,R&R,adidas Creates Consumer Survey to Educate Internal Teams on the Importance of Reviews & Drive CGC Prioritization,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EkEnXd_67tdGgyWtXFw5Lz4Bzwf49xsOycZk4ADgvP594A?e=Ri6hHU,FY18 Q3,NA
adidas,Client story,Footwear,Brand,R&R,adidas optimizes PIE via targeted A/B tests ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElcJTDMa6RJKuwRnkDd7KdgB203SXb3R71C48drbDB1y8Q?e=Fa2ejw,FY18 Q4,NA
adidas,Client story,Footwear,Brand,R&R,Collects rich reviews with event app,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElD30FFvwXhEqnsgNhfNBjIByDlLyjEnLcF9zORHazjarQ?e=1pRMjb,FY19 Q1,NA
adidas and DSG,Client story,Footwear,Brand,R&R,Adidas collects reviews in Dicks Sporting Goods stores to drive conversion on adidas.com & Dicks.com,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Emz2R3p7_-dJvykPGQLDynwBO_JeXVhMWE9aYou5KUDGHw?e=9kajrX,FY20 Q1/Q2,NA
